timestamp,min cpu,max cpu,avg cpu,core,memory,os,task,peakmemory,bandwidth,ioread,iowrite
01-01-2021 00:00,715146.5368,2223302.433,1229569.371,4,4,1,1,715146.5368,2223302.433,1229569.371,1229569.371
01-01-2021 00:05,700473.8403,2212393.246,1211321.709,4,4,1,1,700473.8403,2212393.246,1211321.709,1211321.709
01-01-2021 00:10,705953.5659,2213056.745,1206634.914,4,4,1,1,705953.5659,2213056.745,1206634.914,1206634.914
01-01-2021 00:15,688383.0732,2187572.239,1190368.507,4,4,1,1,688383.0732,2187572.239,1190368.507,1190368.507
01-01-2021 00:20,688276.551,2183684.486,1180991.688,8,8,0,0,688276.551,2183684.486,1180991.688,1180991.688
01-01-2021 00:25,691089.1386,2284281.568,1220288.956,8,8,0,0,691089.1386,2284281.568,1220288.956,1220288.956
01-01-2021 00:30,683834.7677,2200116.41,1192507.887,4,4,1,1,683834.7677,2200116.41,1192507.887,1192507.887
01-01-2021 00:35,671049.3292,2173881.261,1164390.149,4,4,1,1,671049.3292,2173881.261,1164390.149,1164390.149
01-01-2021 00:40,668678.4201,2171678.923,1163261.861,4,4,1,1,668678.4201,2171678.923,1163261.861,1163261.861
01-01-2021 00:45,669317.4246,2182964.843,1164324.22,4,4,1,1,669317.4246,2182964.843,1164324.22,1164324.22
01-01-2021 00:50,666220.0539,2179623.296,1166436.301,8,8,0,0,666220.0539,2179623.296,1166436.301,1166436.301
01-01-2021 00:55,684861.2744,2200703.217,1190592.43,8,8,0,0,684861.2744,2200703.217,1190592.43,1190592.43
01-01-2021 01:00,668646.7285,2176372.209,1171241.898,4,4,1,1,668646.7285,2176372.209,1171241.898,1171241.898
01-01-2021 01:05,664510.6576,2148640.059,1148830.63,4,4,1,1,664510.6576,2148640.059,1148830.63,1148830.63
01-01-2021 01:10,661465.6777,2138898.03,1141471.598,4,4,1,1,661465.6777,2138898.03,1141471.598,1141471.598
01-01-2021 01:15,655958.2522,2131909.833,1136152.962,4,4,1,1,655958.2522,2131909.833,1136152.962,1136152.962
01-01-2021 01:20,660509.062,2107371.569,1128997.302,8,8,0,0,660509.062,2107371.569,1128997.302,1128997.302
01-01-2021 01:25,662387.1241,2184265.053,1155790.748,8,8,0,0,662387.1241,2184265.053,1155790.748,1155790.748
01-01-2021 01:30,668069.807,2173808.113,1164683.352,4,4,1,1,668069.807,2173808.113,1164683.352,1164683.352
01-01-2021 01:35,666509.2944,2165400.402,1154649.062,4,4,1,1,666509.2944,2165400.402,1154649.062,1154649.062
01-01-2021 01:40,657460.509,2129900.214,1137819.823,4,4,1,1,657460.509,2129900.214,1137819.823,1137819.823
01-01-2021 01:45,652357.3783,2095266.524,1120422.102,4,4,1,1,652357.3783,2095266.524,1120422.102,1120422.102
01-01-2021 01:50,649199.5357,2089408.048,1117945.198,8,8,0,0,649199.5357,2089408.048,1117945.198,1117945.198
01-01-2021 01:55,651861.6182,2112406.664,1129061.77,8,8,0,0,651861.6182,2112406.664,1129061.77,1129061.77
01-01-2021 02:00,661692.0598,2088786.975,1124319.323,4,4,1,1,661692.0598,2088786.975,1124319.323,1124319.323
01-01-2021 02:05,658051.9699,2130695.942,1146013.998,4,4,1,1,658051.9699,2130695.942,1146013.998,1146013.998
01-01-2021 02:10,665440.6924,2119482.892,1141822.026,4,4,1,1,665440.6924,2119482.892,1141822.026,1141822.026
01-01-2021 02:15,640203.9558,2100313.819,1108894.753,4,4,1,1,640203.9558,2100313.819,1108894.753,1108894.753
01-01-2021 02:20,635376.0139,2055847.4,1087880.818,8,8,0,0,635376.0139,2055847.4,1087880.818,1087880.818
01-01-2021 02:25,641987.4575,2152493.561,1124973.971,8,8,0,0,641987.4575,2152493.561,1124973.971,1124973.971
01-01-2021 02:30,652156.1049,2109183.37,1124757.842,4,4,1,1,652156.1049,2109183.37,1124757.842,1124757.842
01-01-2021 02:35,648012.5158,2107531.159,1116754.203,4,4,1,1,648012.5158,2107531.159,1116754.203,1116754.203
01-01-2021 02:40,645643.9569,2085769.099,1115290.889,4,4,1,1,645643.9569,2085769.099,1115290.889,1115290.889
01-01-2021 02:45,635862.099,2054346.902,1088367.393,4,4,1,1,635862.099,2054346.902,1088367.393,1088367.393
01-01-2021 02:50,633329.7361,2027302.401,1078826.195,8,8,0,0,633329.7361,2027302.401,1078826.195,1078826.195
01-01-2021 02:55,633406.1107,2076533.791,1098975.331,8,8,0,0,633406.1107,2076533.791,1098975.331,1098975.331
01-01-2021 03:00,638736.9414,2050269.841,1096470.751,4,4,1,1,638736.9414,2050269.841,1096470.751,1096470.751
01-01-2021 03:05,643744.7329,2062090.652,1104377.79,4,4,1,1,643744.7329,2062090.652,1104377.79,1104377.79
01-01-2021 03:10,638436.5876,2086636.618,1105964.904,4,4,1,1,638436.5876,2086636.618,1105964.904,1105964.904
01-01-2021 03:15,643913.2621,2050126.877,1093612.338,4,4,1,1,643913.2621,2050126.877,1093612.338,1093612.338
01-01-2021 03:20,640278.2562,2033195.954,1083965.642,8,8,0,0,640278.2562,2033195.954,1083965.642,1083965.642
01-01-2021 03:25,632012.0765,2096526.33,1096274.656,8,8,0,0,632012.0765,2096526.33,1096274.656,1096274.656
01-01-2021 03:30,630739.0187,2030914.475,1073246.723,4,4,1,1,630739.0187,2030914.475,1073246.723,1073246.723
01-01-2021 03:35,628816.8278,2023604.011,1068473.236,4,4,1,1,628816.8278,2023604.011,1068473.236,1068473.236
01-01-2021 03:40,631922.5877,2023132.79,1075103.318,4,4,1,1,631922.5877,2023132.79,1075103.318,1075103.318
01-01-2021 03:45,624978.6887,2011575.831,1065596.856,4,4,1,1,624978.6887,2011575.831,1065596.856,1065596.856
01-01-2021 03:50,624870.2458,1997749.561,1063065.42,8,8,0,0,624870.2458,1997749.561,1063065.42,1063065.42
01-01-2021 03:55,634156.0431,2033270.212,1088123.259,8,8,0,0,634156.0431,2033270.212,1088123.259,1088123.259
01-01-2021 04:00,625970.9658,2014235.708,1071904.887,4,4,1,1,625970.9658,2014235.708,1071904.887,1071904.887
01-01-2021 04:05,633467.8906,2015329.178,1073227.301,4,4,1,1,633467.8906,2015329.178,1073227.301,1073227.301
01-01-2021 04:10,642816.4371,2050262.848,1093776.509,4,4,1,1,642816.4371,2050262.848,1093776.509,1093776.509
01-01-2021 04:15,652810.8875,2066091.532,1102021.735,4,4,1,1,652810.8875,2066091.532,1102021.735,1102021.735
01-01-2021 04:20,658719.3875,2062488.844,1100262.454,8,8,0,0,658719.3875,2062488.844,1100262.454,1100262.454
01-01-2021 04:25,650654.171,2146585.454,1130185.631,8,8,0,0,650654.171,2146585.454,1130185.631,1130185.631
01-01-2021 04:30,636051.784,2068863.284,1093172.838,4,4,1,1,636051.784,2068863.284,1093172.838,1093172.838
01-01-2021 04:35,637047.551,2050516.224,1086500.963,4,4,1,1,637047.551,2050516.224,1086500.963,1086500.963
01-01-2021 04:40,634721.9874,2053039.627,1090316.101,4,4,1,1,634721.9874,2053039.627,1090316.101,1090316.101
01-01-2021 04:45,639096.2713,2043988.982,1084622.522,4,4,1,1,639096.2713,2043988.982,1084622.522,1084622.522
01-01-2021 04:50,633310.5861,2033072.627,1082797.603,8,8,0,0,633310.5861,2033072.627,1082797.603,1082797.603
01-01-2021 04:55,630115.8924,2042700.5,1076871.905,8,8,0,0,630115.8924,2042700.5,1076871.905,1076871.905
01-01-2021 05:00,617634.7736,2006220.372,1056629.332,4,4,1,1,617634.7736,2006220.372,1056629.332,1056629.332
01-01-2021 05:05,613536.0226,2012749.131,1053482.276,4,4,1,1,613536.0226,2012749.131,1053482.276,1053482.276
01-01-2021 05:10,629144.7864,2059814.602,1073809.96,4,4,1,1,629144.7864,2059814.602,1073809.96,1073809.96
01-01-2021 05:15,615437.6521,2056488.892,1074253.937,4,4,1,1,615437.6521,2056488.892,1074253.937,1074253.937
01-01-2021 05:20,629335.1945,2064507.545,1079622.241,8,8,0,0,629335.1945,2064507.545,1079622.241,1079622.241
01-01-2021 05:25,626792.7291,2117637.461,1096647.528,8,8,0,0,626792.7291,2117637.461,1096647.528,1096647.528
01-01-2021 05:30,626558.5931,2060712.488,1077140.363,4,4,1,1,626558.5931,2060712.488,1077140.363,1077140.363
01-01-2021 05:35,614871.2952,2029227.4,1054747.683,4,4,1,1,614871.2952,2029227.4,1054747.683,1054747.683
